"filename", "language", "CMake", "C", "Docker", "JSON with Comments", "C++", "comment", "blank", "total"
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/.devcontainer/Dockerfile", "Docker", 0, 0, 8, 0, 0, 0, 5, 13
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/.devcontainer/devcontainer.json", "JSON with Comments", 0, 0, 0, 19, 0, 0, 0, 19
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/CMakeLists.txt", "CMake", 6, 0, 0, 0, 0, 0, 4, 10
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/commanders/CMakeLists.txt", "CMake", 5, 0, 0, 0, 0, 0, 0, 5
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/commanders/cmd_interpreter.c", "C", 0, 19, 0, 0, 0, 10, 10, 39
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/commanders/include/cmd_interpreter.h", "C++", 0, 0, 0, 0, 26, 4, 9, 39
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/configurators/CMakeLists.txt", "CMake", 5, 0, 0, 0, 0, 0, 0, 5
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/configurators/cfg_dispatcher.c", "C", 0, 71, 0, 0, 0, 15, 27, 113
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/configurators/include/cfg_dispatcher.h", "C++", 0, 0, 0, 0, 20, 10, 14, 44
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/configurators/include/cfg_signal_get.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/stepper_driver/CMakeLists.txt", "CMake", 5, 0, 0, 0, 0, 0, 0, 5
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/stepper_driver/include/stepper_config.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/stepper_driver/include/stepper_driver.h", "C++", 0, 0, 0, 0, 38, 8, 18, 64
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/stepper_driver/stepper_config.c", "C", 0, 45, 0, 0, 0, 15, 23, 83
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/stepper_driver/stepper_driver.c", "C", 0, 2, 0, 0, 0, 2, 6, 10
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/tcp_servers/CMakeLists.txt", "CMake", 5, 0, 0, 0, 0, 0, 0, 5
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/tcp_servers/command_server.c", "C", 0, 62, 0, 0, 0, 18, 25, 105
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/tcp_servers/config_server.c", "C", 0, 70, 0, 0, 0, 13, 29, 112
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/tcp_servers/helper_f.c", "C", 0, 32, 0, 0, 0, 6, 11, 49
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/tcp_servers/helper_f.h", "C++", 0, 0, 0, 0, 5, 0, 4, 9
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/tcp_servers/include/tcp_servers.h", "C++", 0, 0, 0, 0, 13, 5, 5, 23
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/wifi_setup/CMakeLists.txt", "CMake", 5, 0, 0, 0, 0, 0, 0, 5
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/wifi_setup/include/wifi_setup.h", "C++", 0, 0, 0, 0, 4, 4, 3, 11
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/components/wifi_setup/wifi_setup.c", "C", 0, 72, 0, 0, 0, 1, 17, 90
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/main/CMakeLists.txt", "CMake", 5, 0, 0, 0, 0, 0, 0, 5
"/home/tyfi/Projects/Collab/direct_esp32/TCPStepper/main/main.c", "C", 0, 38, 0, 0, 0, 8, 18, 64
"Total", "-", 36, 411, 8, 19, 106, 119, 230, 929
